INFO  - 2015-12-11 05:26:28.253; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-12-11 05:26:28.275; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/contexts at interval 0
INFO  - 2015-12-11 05:26:28.279; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2015-12-11 05:26:28.324; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/webapps/solr.war!/ to /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2015-12-11 05:26:29.448; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-12-11 05:26:29.496; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-12-11 05:26:29.507; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-12-11 05:26:29.507; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-12-11 05:26:29.508; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-12-11 05:26:29.600; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/solr.xml
INFO  - 2015-12-11 05:26:29.652; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr
INFO  - 2015-12-11 05:26:29.657; org.apache.solr.core.CoreContainer; New CoreContainer 1346416503
INFO  - 2015-12-11 05:26:29.657; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-12-11 05:26:29.665; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-12-11 05:26:29.665; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-12-11 05:26:29.668; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-12-11 05:26:29.669; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-12-11 05:26:29.670; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-12-11 05:26:29.670; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-12-11 05:26:29.670; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-12-11 05:26:29.670; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-12-11 05:26:29.671; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-12-11 05:26:29.671; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2015-12-11 05:26:29.752; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2015-12-11 05:26:29.753; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-12-11 05:26:29.754; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-12-11 05:26:29.754; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-12-11 05:26:29.779; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr
INFO  - 2015-12-11 05:26:29.784; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/
INFO  - 2015-12-11 05:26:29.785; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-12-11 05:26:29.786; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/'
INFO  - 2015-12-11 05:26:29.838; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2015-12-11 05:26:29.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2015-12-11 05:26:29.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2015-12-11 05:26:29.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2015-12-11 05:26:29.840; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2015-12-11 05:26:29.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2015-12-11 05:26:29.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-12-11 05:26:29.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2015-12-11 05:26:29.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2015-12-11 05:26:29.841; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-12-11 05:26:29.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-12-11 05:26:29.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-12-11 05:26:29.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-12-11 05:26:29.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-12-11 05:26:29.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
